Sector,Industry Group,Industry,Sub Industry
Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods"
Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",Footwear
Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",Textiles
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Leisure Facilities
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants
Consumer Discretionary,Consumer Services,Diversified Consumer Services,Education Services
Consumer Discretionary,Consumer Services,Diversified Consumer Services,Specialized Consumer Services
Consumer Discretionary,Media,Media,Advertising
Consumer Discretionary,Media,Media,Broadcasting
Consumer Discretionary,Media,Media,Cable & Satellite
Consumer Discretionary,Media,Media,Movies & Entertainment
Consumer Discretionary,Media,Media,Publishing
Consumer Discretionary,Retailing,Distributors,Distributors
Consumer Discretionary,Retailing,Internet & Catalog Retail,Catalog Retail
Consumer Discretionary,Retailing,Internet & Catalog Retail,Internet Retail
Consumer Discretionary,Retailing,Multiline Retail,Department Stores
Consumer Discretionary,Retailing,Multiline Retail,General Merchandise Stores
Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
Consumer Discretionary,Retailing,Specialty Retail,Computer & Electronics Retail
Consumer Discretionary,Retailing,Specialty Retail,Home Improvement Retail
Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
Consumer Discretionary,Retailing,Specialty Retail,Automotive Retail
Consumer Discretionary,Retailing,Specialty Retail,Homefurnishing Retail
Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Drug Retail
Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Food Distributors
Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Food Retail
Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Hypermarkets & Super Centers
Consumer Staples,"Food, Beverage & Tobacco",Beverages,Brewers
Consumer Staples,"Food, Beverage & Tobacco",Beverages,Distillers & Vintners
Consumer Staples,"Food, Beverage & Tobacco",Beverages,Soft Drinks
Consumer Staples,"Food, Beverage & Tobacco",Food Products,Agricultural Products
Consumer Staples,"Food, Beverage & Tobacco",Food Products,"Meat, Poultry & Fish (discontinued, effective March 28 2002)"
Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
Consumer Staples,"Food, Beverage & Tobacco",Tobacco,Tobacco
Consumer Staples,Household & Personal Products,Household Products,Household Products
Consumer Staples,Household & Personal Products,Personal Products,Personal Products
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Supplies
Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Distributors
Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Services
Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Facilities
Health Care,Health Care Equipment & Services,Health Care Providers & Services,Managed Health Care
Health Care,Health Care Equipment & Services,Health Care Technology,Health Care Technology
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Life Sciences Tools & Services,Life Sciences Tools & Services
Financials,Banks,Banks,Diversified Banks
Financials,Banks,Banks,Regional Banks
Financials,Banks,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance
Financials,Diversified Financials,Diversified Financial Services,Consumer Finance -- Discontinued effective 04/30/2003.
Financials,Diversified Financials,Diversified Financial Services,Other Diversified Financial Services
Financials,Diversified Financials,Diversified Financial Services,Multi-Sector Holdings
Financials,Diversified Financials,Diversified Financial Services,Specialized Finance
Financials,Diversified Financials,Consumer Finance,Consumer Finance
Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
Financials,Diversified Financials,Capital Markets,Investment Banking & Brokerage
Financials,Diversified Financials,Capital Markets,Diversified Capital Markets
Financials,Insurance,Insurance,Insurance Brokers
Financials,Insurance,Insurance,Life & Health Insurance
Financials,Insurance,Insurance,Multi-line Insurance
Financials,Insurance,Insurance,Property & Casualty Insurance
Financials,Insurance,Insurance,Reinsurance
Financials,Real Estate,Real Estate -- Discontinued effective 04/28/2006,Real Estate Investment Trusts -- Discontinued effective 04/28/2006
Financials,Real Estate,Real Estate -- Discontinued effective 04/28/2006,Real Estate Management & Development -- Discontinued effective 04/28/2006
Financials,Real Estate,Real Estate Investment Trusts (REITs),Diversified REITs
Financials,Real Estate,Real Estate Investment Trusts (REITs),Industrial REITs
Financials,Real Estate,Real Estate Investment Trusts (REITs),Mortgage REITs
Financials,Real Estate,Real Estate Investment Trusts (REITs),Hotel & Resort REITs
Financials,Real Estate,Real Estate Investment Trusts (REITs),Office REITs
Financials,Real Estate,Real Estate Investment Trusts (REITs),Health Care REITs
Financials,Real Estate,Real Estate Investment Trusts (REITs),Residential REITs
Financials,Real Estate,Real Estate Investment Trusts (REITs),Retail REITs
Financials,Real Estate,Real Estate Investment Trusts (REITs),Specialized REITs
Financials,Real Estate,Real Estate Management & Development,Diversified Real Estate Activities
Financials,Real Estate,Real Estate Management & Development,Real Estate Operating Companies
Financials,Real Estate,Real Estate Management & Development,Real Estate Development
Financials,Real Estate,Real Estate Management & Development,Real Estate Services
Information Technology,Software & Services,Internet Software & Services,Internet Software & Services
Information Technology,Software & Services,IT Services,IT Consulting & Other Services
Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services
Information Technology,Software & Services,Software,Application Software
Information Technology,Software & Services,Software,Systems Software
Information Technology,Software & Services,Software,Home Entertainment Software
Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment
Information Technology,Technology Hardware & Equipment,Communications Equipment,Networking Equipment -- Discontinued effective 04/30/2003.
Information Technology,Technology Hardware & Equipment,Communications Equipment,Telecommunications Equipment -- Discontinued effective 04/30/2003.
Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals",Computer Hardware - Discontinued effective 02/28/2014
Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals",Computer Storage & Peripherals - Discontinued effective 02/28/2014
Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments 
Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Components
Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Manufacturing Services
Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Technology Distributors
Information Technology,Technology Hardware & Equipment,Office Electronics - Discontinued effective 02/28/2014,Office Electronics - Discontinued effective 02/28/2014
Information Technology,Technology Hardware & Equipment,Semiconductor Equipment & Products -- Discontinued effective 04/30/2003.,Semiconductor Equipment -- Discontinued effective 04/30/2003.
Information Technology,Technology Hardware & Equipment,Semiconductor Equipment & Products -- Discontinued effective 04/30/2003.,Semiconductors -- Discontinued effective 04/30/2003.
Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment 
Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,Alternative Carriers
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,Integrated Telecommunication Services
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,Wireless Telecommunication Services
Utilities,Utilities,Electric Utilities,Electric Utilities
Utilities,Utilities,Gas Utilities,Gas Utilities
Utilities,Utilities,Multi-Utilities,Multi-Utilities
Utilities,Utilities,Water Utilities,Water Utilities
Utilities,Utilities,Independent Power and Renewable Electricity Producers,Independent Power Producers & Energy Traders
Utilities,Utilities,Independent Power and Renewable Electricity Producers,Renewable Electricity 
